"BoxID","Lon","Lat","1997 Jun","1997 Jul","1997 Aug","1998 Jun","1998 Jul","1998 Aug","1999 Jun","1999 Jul","1999 Aug","2000 Jun","2000 Jul","2000 Aug","2001 Jun","2001 Jul","2001 Aug","2002 Jun","2002 Jul","2002 Aug","2003 Jun","2003 Jul","2003 Aug","2004 Jun","2004 Jul","2004 Aug","2005 Jun","2005 Jul","2005 Aug","2006 Jun","2006 Jul","2006 Aug","2007 Jun","2007 Jul","2007 Aug","2008 Jun","2008 Jul","2008 Aug","2009 Jun","2009 Jul","2009 Aug","2010 Jun","2010 Jul","2010 Aug","2011 Jun","2011 Jul","2011 Aug"
1,99.401314,26.191608,-7.5964594,-17.065207,-14.368244,-12.778257,-16.061508,-17.695608,-11.236123,-14.303349,-17.195908,-13.861873,-15.939451,-16.652349,-14.647902,-15.486224,-17.586889,-10.241888,-15.23547,-16.968285,-11.015167,-17.679039,-17.457087,-12.956929,-17.323151,-18.536493,-8.5395899,-17.171137,-16.936123,-10.662484,-15.557129,-18.096689,-11.355739,-16.892349,-18.380159,-12.879726,-16.840542,-18.033661,-9.5148478,-14.13157,-15.566168,-10.734692,-16.698265,-19.448801,-11.132251,-16.067255,-17.569069
2,99.401314,26.69865,-8.8288183,-18.083252,-15.406199,-13.659147,-16.729876,-18.591497,-12.031411,-15.985482,-18.912962,-14.234968,-17.002058,-17.66889,-16.116503,-16.378489,-18.559731,-10.748658,-16.10207,-18.089354,-12.668816,-18.757467,-18.586678,-14.431397,-18.7994,-19.838026,-11.065528,-19.120592,-18.743317,-11.056961,-16.493757,-19.092669,-12.366892,-17.931469,-19.984467,-13.171719,-18.135149,-19.521965,-9.8799839,-15.0777,-16.935196,-12.081135,-19.247318,-20.338543,-12.842543,-16.81093,-18.181017
3,100.05921,26.69865,-8.1102123,-18.010315,-14.951741,-12.384614,-15.618505,-17.807182,-10.523119,-14.994892,-17.512648,-14.109984,-15.867908,-16.749853,-16.295019,-15.388071,-18.022299,-10.115146,-15.914504,-18.221972,-11.892071,-17.546652,-17.395283,-14.194576,-17.848921,-19.3151,-7.1162667,-17.349577,-17.391178,-11.136555,-15.492657,-18.06226,-11.770128,-17.000774,-18.59795,-12.921429,-17.039747,-18.568445,-8.9051485,-14.581614,-15.905723,-11.702537,-17.592367,-19.70561,-11.771462,-15.884025,-17.402048
4,89.532898,27.205692,-4.3253722,-12.901913,-11.056076,-5.1566343,-11.143353,-12.467096,-7.2831945,-11.354312,-13.744263,-9.1147137,-11.215716,-11.530799,-12.260127,-12.925213,-13.426536,-6.4872828,-8.912837,-12.953639,-6.3336616,-14.654429,-13.294705,-7.4215651,-11.967771,-13.356887,-4.3399825,-12.774685,-10.403785,-5.3108416,-10.821095,-13.385068,-9.4068632,-13.613862,-12.491661,-8.3933983,-12.664501,-13.213613,-4.4223728,-10.029389,-10.932792,-5.8630896,-11.648973,-14.996798,-8.0126104,-11.157495,-14.955282
5,98.743423,27.205692,-9.5280962,-17.802942,-16.123985,-11.871547,-16.618814,-18.379961,-14.142409,-15.726537,-18.773146,-14.285507,-16.857037,-17.575415,-15.543866,-16.662594,-18.273182,-12.219333,-15.746754,-17.721024,-13.460244,-19.55341,-18.860914,-15.811746,-18.158768,-19.803713,-13.380701,-19.079447,-18.916899,-13.099132,-17.167202,-19.648611,-14.36495,-18.236074,-20.742737,-14.458508,-18.241646,-19.864599,-11.633698,-15.970924,-17.433426,-12.372807,-17.375937,-20.318647,-12.607107,-17.554398,-18.673599
6,99.401314,27.205692,-9.2691498,-18.157215,-16.318995,-13.16526,-16.927687,-18.929327,-13.159123,-16.221104,-19.255142,-14.327604,-17.307709,-18.159719,-16.803015,-17.023727,-18.818016,-11.329063,-16.35368,-18.092632,-13.355682,-19.712856,-19.025316,-15.129305,-18.953444,-20.097519,-13.104842,-19.854599,-19.605873,-12.54318,-17.086456,-19.622366,-14.102262,-18.554445,-20.795959,-13.331746,-18.819361,-20.197969,-10.860024,-15.989999,-17.728556,-12.471297,-19.347406,-20.855938,-13.678805,-17.720518,-18.914545
7,100.05921,27.205692,-8.9215145,-18.741251,-16.121603,-12.797932,-16.648188,-18.829878,-12.267886,-16.37546,-18.908953,-14.546399,-16.837069,-18.042749,-17.418285,-16.435543,-18.892048,-11.12843,-16.487429,-18.651588,-13.116497,-18.928791,-18.420513,-14.8396,-19.223843,-20.385164,-10.370488,-19.327065,-19.113773,-11.737317,-16.418642,-18.775282,-13.015436,-18.451117,-20.149467,-13.47025,-18.277323,-19.979158,-9.6876793,-15.880003,-17.198914,-12.624384,-19.546139,-20.750111,-13.445356,-17.478821,-18.333817
8,86.243423,27.712734,-7.1114759,-13.726048,-11.709487,-7.2751584,-11.968605,-14.154398,-8.2012539,-12.125843,-14.241183,-8.7144728,-12.103889,-10.76655,-10.12894,-13.84213,-13.969501,-5.5844922,-6.2980995,-11.744418,-4.0930529,-13.506742,-12.954021,-7.140039,-11.711271,-11.791492,-4.062005,-13.171556,-9.3491106,-6.2799191,-10.799235,-13.077571,-7.6873922,-13.250763,-11.589942,-8.2203817,-11.938967,-12.239223,-3.3715985,-9.4999647,-8.4466867,-5.975431,-11.544005,-14.827623,-6.9468169,-10.723131,-14.252174
9,86.901314,27.712734,-6.5524049,-15.622132,-14.136767,-7.41398,-14.481061,-16.47533,-9.4372482,-14.730257,-17.217506,-10.600422,-14.346377,-13.265237,-13.957917,-16.285257,-16.72826,-6.6238317,-8.5609236,-14.610422,-6.5281868,-16.70715,-16.187738,-9.977231,-14.480704,-14.959053,-5.1485319,-16.094198,-11.786074,-6.6057749,-13.635201,-16.085627,-9.8071957,-15.500196,-14.462591,-9.6932173,-14.716113,-15.208862,-3.4275901,-11.485543,-11.734183,-5.1782269,-14.868757,-17.208014,-8.6787052,-12.783979,-17.33993
10,87.559212,27.712734,-8.044878,-15.264503,-13.663136,-8.3689156,-13.901006,-16.368689,-10.248329,-14.556152,-17.444843,-11.049153,-13.636314,-13.619848,-14.209018,-15.673816,-16.158514,-5.465138,-8.2525845,-13.641993,-6.8079586,-16.00992,-15.400211,-8.2303219,-14.59107,-14.123867,-5.1413751,-15.756457,-12.030796,-5.4006619,-12.401553,-15.426906,-8.5630455,-15.488287,-13.426805,-9.0176315,-14.068781,-15.168914,-3.3651009,-11.389104,-10.460753,-4.7588644,-13.843578,-16.934519,-7.4283924,-12.700926,-16.44467
